🔧 OBSIDIAN-8 V3 — MASTER BOM (REV D)
Part Name	Supplier / Manufacturer	Quantity	Unit Price	Total Price	Description / Notes
AGFRC A86BHMW 400 kg·cm HV Servo	AGFRC	24	$120	$2,880	Primary leg actuation, CNC aluminum case, steel gears, 8.4 V, dual ball bearings, 25T spline
AGFRC A86BHMW 400 kg·cm HV Servo (Spare)	AGFRC	2	$120	$240	Spare units
Aluminum Servo Mount Brackets (CNC/Printed)	Custom Fabrication / 3D Print	48	$6.25	$300	Reinforced servo mounting brackets for all leg joints
TPU 95A Foot Pads	Generic	8	included	included	Replaceable foot pads
3030 Aluminum Extrusion	80/20	60 ft	$6.67	$400	Primary load ring for frame
2020 Aluminum Extrusion	80/20	40 ft	$4.50	$180	Vertical & bracing
M6 Bolts (Grade 10.9)	McMaster-Carr	300	$0.40	$120	Frame assembly
M5 T-Nuts	McMaster-Carr	500	$0.12	$60	Extrusion assembly
3030 / 2020 Corner Brackets	McMaster-Carr	120	$1.75	$210	Steel brackets for frame connections
Aluminum Reinforcement Plates	SendCutSend / Xometry	20	$10	$200	Top plate, battery tray, servo backing plates
6061 Aluminum Plates (1/4")	SendCutSend / Xometry	60	$20	$1,200	Mechanical linkages and structural plates
Carbon-Fiber Nylon Filament (PA6-CF / PA12-CF)	Taulman / eSun	4 spools	$80	$320	Coxa, femur, tibia segments, reinforced servo mounts
ABS Filament (eSun ABS+)	eSun	12 spools	$25	$300	Enclosures, covers, body panels
Polycarbonate Sheets	McMaster-Carr	4	$20	$80	Camera / sensor protection
6001-2RS Bearings (12 mm bore)	SKF / NSK	56	$7.20	$403	Main joint bearings for legs
608-2RS Bearings	SKF / NSK	40	$2.50	$100	Redundant / expansion joints
12 mm Hardened Steel Shafting	McMaster-Carr	8 m	$50/m	$400	Precision ground rods for all joints
Clamp-style Shaft Collars (12 mm)	McMaster-Carr	24	$5	$120	Shaft retention hardware
M8 Shoulder Bolts	McMaster-Carr	48	$6	$288	Joint fasteners
Washers / Lock Nuts	McMaster-Carr	Bulk	$80	$80	Spacers & reinforcement
Aluminum Spacers Kit	McMaster-Carr	100+	$50	$50	Adjustable spacing for linkages
Duet 3 6HC Mainboard	Duet3D	1	$230	$230	Primary safety/motion supervisor
Duet 3 3HC Expansion Board	Duet3D	2	$180	$360	Expansion for additional IO
Teensy 4.1	PJRC	2	$35	$70	Real-time servo/motion control
Teensy Ethernet Kit	PJRC	1	$20	$20	Networking / communication
Pololu Maestro 24-Channel	Pololu	1	$90	$90	Auxiliary servo controller
Raspberry Pi 5	Raspberry Pi Foundation	1	$90	$90	High-level compute
NVIDIA Jetson Orin NX 16 GB	NVIDIA	1	$600	$600	Vision / AI compute
256 GB NVMe SSD	Samsung 980	1	$80	$80	Storage for Jetson / Pi
Isolated 5 V DC-DC Converter	DROK / MeanWell	1	$25	$25	Logic power for control boards
LiFePO₄ 24 V 30 Ah Battery	Bioenno	1	$700	$700	Main energy core
LiFePO₄ 24 V 15 A Charger	Bioenno	1	$120	$120	CC/CV charger for battery
MeanWell RSD-500-24 DC Converter	MeanWell	2	$140	$280	24 V → 8 V servo power rails
MeanWell LRS-350-12	MeanWell	1	$45	$45	12 V auxiliary power
DROK 24 V → 5 V Buck Converter	DROK	3	$15	$45	5 V logic/sensor supply
Copper Bus Bars (8 mm thick)	McMaster-Carr	2	$30	$60	Power distribution
Terminal Blocks (DIN Rail)	McMaster-Carr	10	$8	$80	Modular wiring
Blue Sea Systems Fuse Block	Blue Sea Systems	1	$55	$55	Fuse protection for servo banks
Automotive Blade Fuses Kit	Generic	1	$25	$25	Spare fuses
100 A Main Fuse	Generic	1	$20	$20	Primary protection
150 A ANL Fuse + Holder	Generic	1	$20	$20	High-current protection
80 A MIDI Fuses	Generic	2	$15	$30	DC-DC input protection
150 A Contactors	Generic	2	$20	$40	Servo bank shutdown
Luxonis OAK-D Pro	Luxonis	2	$300	$600	Depth + stereo vision cameras
Intel RealSense D455	Intel	2	$300	$600	Depth mapping
Arducam OV9281 Global Shutter	Arducam	2	$80	$160	High-speed monochrome cameras
M12 Wide Angle Lenses (120°)	Generic	2	$25	$50	Lens upgrades for cameras
BNO085 IMU	Bosch	2	$35	$70	Orientation / stability
Limit Switches	Omron	24	$3	$72	Endstop detection for joints
Foot Contact Switches	Honeywell	8	$10	$80	Gait / foot contact sensing
Industrial USB 3.0 Hub	StarTech	2	$120	$240	Camera aggregation
USB 3.0 Shielded Cables	StarTech	10	$15	$150	High-speed camera data wiring
Ubiquiti UniFi Mesh Node	Ubiquiti	1	$180	$180	Swarm communications
Ubiquiti Antenna	Ubiquiti	1	$90	$90	Optional range boost
CAT6 Shielded Cable (50 ft)	Monoprice	1	$40	$40	Wired backbone networking
Noctua 80 mm Fans	Noctua	4	$25	$100	Cooling for servos / electronics
